dates,tension,temperature_stream,dH
2015-07-26 06:15:00,1.21248,15.451,-0.012830319849618525
2015-07-26 06:30:00,1.224,15.434,-0.013789865961718682
2015-07-26 06:45:00,1.22297,15.418,-0.013764607166207077
2015-07-26 07:00:00,1.22084,15.406,-0.013639513084892032
2015-07-26 07:15:00,1.22469,15.394,-0.013982026302578403
2015-07-26 07:30:00,1.22442,15.387,-0.013985099587632737
2015-07-26 07:45:00,1.21618,15.38,-0.013364957124686862
2015-07-26 08:00:00,1.2145,15.374,-0.013254320035720664
2015-07-26 08:15:00,1.22614,15.372,-0.014171422452188536
2015-07-26 08:30:00,1.22553,15.373,-0.014120268238569541
2015-07-26 08:45:00,1.22114,15.385,-0.013735529612612141
2015-07-26 09:00:00,1.21828,15.384,-0.01351534648048953
2015-07-26 09:15:00,1.2219,15.389,-0.013781137399742254
2015-07-26 09:30:00,1.22679,15.417,-0.014066767973437203
2015-07-26 09:45:00,1.22831,15.442,-0.014099246145379225
2015-07-26 10:00:00,1.23602,15.454,-0.014660669445494894
2015-07-26 10:15:00,1.24022,15.453,-0.014992544428915759
2015-07-26 10:30:00,1.23831,15.476,-0.0147637233457619
2015-07-26 10:45:00,1.23075,15.487,-0.014134561075526303
2015-07-26 11:00:00,1.25063,15.486,-0.01569253680281703
2015-07-26 11:15:00,1.23915,15.501,-0.014743028781362631
2015-07-26 11:30:00,1.24769,15.517,-0.015355533532643548
2015-07-26 11:45:00,1.23919,15.534,-0.014632136926059148
2015-07-26 12:00:00,1.2499,15.558,-0.015386684131926535
2015-07-26 12:15:00,1.25666,15.568,-0.01588073227419108
2015-07-26 12:30:00,1.24281,15.592,-0.01471480535573162
2015-07-26 12:45:00,1.24582,15.603,-0.014912166354801176
2015-07-26 13:00:00,1.23777,15.634,-0.014175585610062946
2015-07-26 13:15:00,1.24857,15.67,-0.014895708688221475
2015-07-26 13:30:00,1.25895,15.644,-0.015797208543564985
2015-07-26 13:45:00,1.2549,15.646,-0.015473607698906582
2015-07-26 14:00:00,1.25238,15.649,-0.015266190369703286
2015-07-26 14:15:00,1.25917,15.652,-0.015786770357172717
2015-07-26 14:30:00,1.24929,15.662,-0.01497965036308553
2015-07-26 14:45:00,1.26383,15.66,-0.016123518861008924
2015-07-26 15:00:00,1.25532,15.662,-0.015451167422112026
2015-07-26 15:15:00,1.266,15.666,-0.016272471598221056
2015-07-26 15:30:00,1.24903,15.669,-0.014935133621765202
2015-07-26 15:45:00,1.26368,15.673,-0.016066872743866777
2015-07-26 16:00:00,1.25772,15.689,-0.01554554708787006
2015-07-26 16:15:00,1.25956,15.692,-0.01567906083285506
2015-07-26 16:30:00,1.26009,15.692,-0.015720504289121067
2015-07-26 16:45:00,1.26452,15.683,-0.016098005299160043
2015-07-26 17:00:00,1.25845,15.674,-0.015654456703928985
2015-07-26 17:15:00,1.26135,15.663,-0.01591922933982569
2015-07-26 17:30:00,1.26204,15.656,-0.01599737001736186
2015-07-26 17:45:00,1.26574,15.652,-0.01630051282447026
2015-07-26 18:00:00,1.25639,15.648,-0.015583208265028752
2015-07-26 18:15:00,1.26612,15.65,-0.016337137283286632
2015-07-26 18:30:00,1.25029,15.653,-0.015088941835402946
2015-07-26 18:45:00,1.26482,15.656,-0.01621475267475716
2015-07-26 19:00:00,1.26768,15.657,-0.01643493580687976
2015-07-26 19:15:00,1.26108,15.664,-0.015894661494377342
2015-07-26 19:30:00,1.26951,15.66,-0.016567667599859746
2015-07-26 19:45:00,1.26234,15.663,-0.01599664258832258
2015-07-26 20:00:00,1.27035,15.662,-0.01662644128565569
2015-07-26 20:15:00,1.2668,15.664,-0.016341938041248245
2015-07-26 20:30:00,1.27268,15.668,-0.01678790525494812
2015-07-26 20:45:00,1.26986,15.675,-0.016543208800342893
2015-07-26 21:00:00,1.26802,15.682,-0.016375143642229535
2015-07-26 21:15:00,1.26913,15.692,-0.016427388901658315
2015-07-26 21:30:00,1.27131,15.701,-0.016566758166936948
2015-07-26 21:45:00,1.26242,15.712,-0.01583359628003383
2015-07-26 22:00:00,1.27653,15.721,-0.016905834287300203
2015-07-26 22:15:00,1.26726,15.731,-0.016146413365519186
